idx	X	Y	component
0	1000	1050.914694695524	0
1	17495.14138592063	1035.309822292046	0
2	17495.14138893622	1035.30982229617	0
3	17808.8041267871	1048.333568202594	0
4	17808.80412680505	1048.333568202047	0
5	28068.94814160738	1046.853300008811	0
6	26198.48946419792	1000	0
7	26260.48946419792	1058.506701280623	0
8	28068.94813136998	1046.8533001835	0
9	28139.07698219005	1045.110891531164	0
10	28139.07702878743	1045.11089424263	0
11	28201.01710992026	1049.964714745031	0
12	28201.017090747	1049.964713827344	0
13	28477.6286413615	1053.108702507666	0
14	28477.62865028288	1053.108701845388	0
15	28541.52742024517	1046.894374632257	0
16	28541.52742701626	1046.894375551012	0
17	28894.48159523398	1058.163789970065	0
18	28894.48159052359	1058.163791806409	0
19	28956.50561799262	1053.309082598281	0
20	28956.50561799978	1053.309082598216	0
21	66447.09350466281	1050.346148569734	0
22	66447.09352325185	1050.346148530887	0
23	66503.34943645632	1050.233101575462	0
24	66503.34950909621	1050.233101601527	0
25	70440.08994542682	1059.323193547989	0
26	68489.48946419792	1059.707736388673	0
27	68546.48946419792	1050.10892603424	0
28	70440.08991940004	1059.323193344005	0
29	106145.5467481651	1055.784095415422	0
30	104078.4894641979	1045.762307434198	0
31	104113.4894641979	1067.678437708588	0
32	104113.4894641979	1033.609491541402	0
33	104121.4894641979	1051.197098412542	0
34	104121.4894641979	1031.350024134829	0
35	104366.4894641979	1047.010931834916	0
36	104366.4894641979	1045.560949708097	0
37	104522.4894641979	1038.102428448716	0
38	104522.4894641979	1036.85801816274	0
39	104606.4894641979	1032.754534243434	0
40	104606.4894641979	1043.831335577328	0
41	104679.4894641979	1043.669720108497	0
42	104679.4894641979	1048.869150117153	0
43	104851.4894641979	1047.106737806168	0
44	104851.4894641979	1050.876741634998	0
45	104942.4894641979	1046.909642169666	0
46	104942.4894641979	1045.93598862625	0
47	104953.4894641979	1064.282428153778	0
48	104953.4894641979	1043.422166719559	0
49	104984.4894641979	1042.682342770452	0
50	106145.5467436712	1055.784095419336	0
51	171644.2846684563	1047.881147435958	0
52	171644.2846684553	1047.881147435959	0
53	180453.5865371599	1033.187617230729	0
54	180453.5864058707	1033.187617222685	0
55	287249.0724487837	1040.490350900667	0
56	287249.0725431129	1040.490353779567	0
57	287267.1616847222	1039.374939019991	0
58	287267.1618645085	1039.374938972657	0
59	287571.989171053	1038.759761518499	0
60	287571.9891796255	1038.759760890993	0
61	287592.117104408	1038.177594062045	0
62	287592.1169656022	1038.177597264517	0
63	292150.2922825016	1045.69890742291	0
64	292150.2923717157	1045.698907470963	0
65	293004.965103679	1044.051812187104	0
66	293004.9650538706	1044.051812163676	0
67	302495.8787422974	1048.489216829977	0
68	302495.8789069769	1048.489218536187	0
69	302499.9190527756	1048.544302127958	0
70	302499.9191637968	1048.544303446352	0
71	302559.5186174568	1049.984605148175	0
72	302559.5183833063	1049.984602371946	0
73	302562.5535501898	1050.12561461007	0
74	302562.5536571374	1050.125607753987	0
75	315226.1323148979	1065.393352963065	0
76	312658.4894641979	1051.139921903971	0
77	314176.4894641979	1046.377284357891	0
78	315226.132444139	1065.393352837257	0
79	409224.7672844627	1052.306020241737	0
80	406640.4894641979	1053.597699750283	0
81	407297.4894641979	1062.981086714915	0
82	409224.7675513158	1052.306020231555	0
83	409241.0545591261	1052.291392254271	0
84	407313.4894641979	1080.558879919632	0
